,Code,Borough,Month,Average Price,Year
120,E09000022,Lambeth,6,524320.0,2015
121,E09000023,Lewisham,6,377204.0,2015
122,E09000024,Merton,6,561599.0,2015
123,E09000025,Newham,6,291812.0,2015
124,E09000026,Redbridge,6,361736.0,2015
125,E09000027,Richmond upon Thames,6,743074.0,2015
126,E09000028,Southwark,6,547127.0,2015
127,E09000029,Sutton,6,338643.0,2015
128,E09000030,Tower Hamlets,6,450291.0,2015
129,E09000031,Waltham Forest,6,358406.0,2015
130,E09000032,Wandsworth,6,682203.0,2015
131,E09000033,Westminster,6,1468287.0,2015
132,E09000001,City of London,9,929347.0,2015
133,E09000002,Barking and Dagenham,9,234225.0,2015
134,E09000003,Barnet,9,553003.0,2015
135,E09000004,Bexley,9,285822.0,2015
136,E09000005,Brent,9,494092.0,2015
137,E09000006,Bromley,9,429596.0,2015
138,E09000007,Camden,9,1041168.0,2015
139,E09000008,Croydon,9,328458.0,2015
140,E09000009,Ealing,9,509376.0,2015
141,E09000010,Enfield,9,378789.0,2015
142,E09000011,Greenwich,9,382597.0,2015
143,E09000012,Hackney,9,540253.0,2015
144,E09000013,Hammersmith and Fulham,9,947105.0,2015
145,E09000014,Haringey,9,544476.0,2015
146,E09000015,Harrow,9,450848.0,2015
147,E09000016,Havering,9,308594.0,2015
148,E09000017,Hillingdon,9,381117.0,2015
149,E09000018,Hounslow,9,456432.0,2015
150,E09000019,Islington,9,726405.0,2015
151,E09000020,Kensington and Chelsea,9,1935311.0,2015
152,E09000021,Kingston upon Thames,9,495871.0,2015
153,E09000022,Lambeth,9,543859.0,2015
154,E09000023,Lewisham,9,389489.0,2015
155,E09000024,Merton,9,559726.0,2015
156,E09000025,Newham,9,301915.0,2015
157,E09000026,Redbridge,9,374848.0,2015
158,E09000027,Richmond upon Thames,9,754024.0,2015
159,E09000028,Southwark,9,559003.0,2015
160,E09000029,Sutton,9,347085.0,2015
161,E09000030,Tower Hamlets,9,462677.0,2015
162,E09000031,Waltham Forest,9,370890.0,2015
163,E09000032,Wandsworth,9,680210.0,2015
164,E09000033,Westminster,9,1412082.0,2015
165,E09000001,City of London,12,926291.0,2015
166,E09000002,Barking and Dagenham,12,244126.0,2015
167,E09000003,Barnet,12,566874.0,2015
168,E09000004,Bexley,12,295261.0,2015
169,E09000005,Brent,12,506321.0,2015
170,E09000006,Bromley,12,441675.0,2015
171,E09000007,Camden,12,1040034.0,2015
172,E09000008,Croydon,12,340768.0,2015
173,E09000009,Ealing,12,524966.0,2015
174,E09000010,Enfield,12,389902.0,2015
175,E09000011,Greenwich,12,401116.0,2015
176,E09000012,Hackney,12,564760.0,2015
177,E09000013,Hammersmith and Fulham,12,940896.0,2015
178,E09000014,Haringey,12,569499.0,2015
179,E09000015,Harrow,12,461919.0,2015
180,E09000016,Havering,12,317806.0,2015
181,E09000017,Hillingdon,12,393842.0,2015
182,E09000018,Hounslow,12,462024.0,2015
183,E09000019,Islington,12,743764.0,2015
184,E09000020,Kensington and Chelsea,12,1914363.0,2015
185,E09000021,Kingston upon Thames,12,502091.0,2015
186,E09000022,Lambeth,12,554121.0,2015
187,E09000023,Lewisham,12,403588.0,2015
188,E09000024,Merton,12,571362.0,2015
189,E09000025,Newham,12,319348.0,2015
190,E09000026,Redbridge,12,387916.0,2015
191,E09000027,Richmond upon Thames,12,754191.0,2015
192,E09000028,Southwark,12,583065.0,2015
193,E09000029,Sutton,12,358825.0,2015
194,E09000030,Tower Hamlets,12,483422.0,2015
195,E09000031,Waltham Forest,12,384365.0,2015
196,E09000032,Wandsworth,12,687588.0,2015
197,E09000033,Westminster,12,1361090.0,2015
198,E09000001,City of London,3,935604.0,2016
199,E09000002,Barking and Dagenham,3,254178.0,2016
200,E09000003,Barnet,3,576761.0,2016
201,E09000004,Bexley,3,306398.0,2016
202,E09000005,Brent,3,515413.0,2016
203,E09000006,Bromley,3,451675.0,2016
204,E09000007,Camden,3,1085177.0,2016
205,E09000008,Croydon,3,350928.0,2016
206,E09000009,Ealing,3,539607.0,2016
207,E09000010,Enfield,3,404432.0,2016
208,E09000011,Greenwich,3,417229.0,2016
209,E09000012,Hackney,3,587107.0,2016
210,E09000013,Hammersmith and Fulham,3,944625.0,2016
211,E09000014,Haringey,3,587650.0,2016
212,E09000015,Harrow,3,474120.0,2016
213,E09000016,Havering,3,328297.0,2016
214,E09000017,Hillingdon,3,408068.0,2016
215,E09000018,Hounslow,3,480960.0,2016
216,E09000019,Islington,3,743848.0,2016
217,E09000020,Kensington and Chelsea,3,1948255.0,2016
218,E09000021,Kingston upon Thames,3,518835.0,2016
219,E09000022,Lambeth,3,565823.0,2016
220,E09000023,Lewisham,3,413683.0,2016
221,E09000024,Merton,3,581611.0,2016
222,E09000025,Newham,3,332890.0,2016
223,E09000026,Redbridge,3,398562.0,2016
224,E09000027,Richmond upon Thames,3,772074.0,2016
225,E09000028,Southwark,3,607715.0,2016
226,E09000029,Sutton,3,368930.0,2016
227,E09000030,Tower Hamlets,3,501530.0,2016
228,E09000031,Waltham Forest,3,400481.0,2016
229,E09000032,Wandsworth,3,713747.0,2016
230,E09000033,Westminster,3,1413086.0,2016
231,E09000001,City of London,6,917834.0,2016
232,E09000002,Barking and Dagenham,6,265259.0,2016
233,E09000003,Barnet,6,582038.0,2016
234,E09000004,Bexley,6,319769.0,2016
235,E09000005,Brent,6,517224.0,2016
236,E09000006,Bromley,6,461828.0,2016
237,E09000007,Camden,6,1088628.0,2016
238,E09000008,Croydon,6,357942.0,2016
239,E09000009,Ealing,6,542632.0,2016
240,E09000010,Enfield,6,419358.0,2016
241,E09000011,Greenwich,6,426327.0,2016
242,E09000012,Hackney,6,594695.0,2016
243,E09000013,Hammersmith and Fulham,6,936827.0,2016
244,E09000014,Haringey,6,604665.0,2016
245,E09000015,Harrow,6,478243.0,2016
246,E09000016,Havering,6,336475.0,2016
247,E09000017,Hillingdon,6,421983.0,2016
248,E09000018,Hounslow,6,485794.0,2016
249,E09000019,Islington,6,742372.0,2016
250,E09000020,Kensington and Chelsea,6,1926134.0,2016
251,E09000021,Kingston upon Thames,6,530638.0,2016
252,E09000022,Lambeth,6,578988.0,2016
253,E09000023,Lewisham,6,425265.0,2016
254,E09000024,Merton,6,590516.0,2016
255,E09000025,Newham,6,342722.0,2016
256,E09000026,Redbridge,6,405431.0,2016
257,E09000027,Richmond upon Thames,6,774663.0,2016
258,E09000028,Southwark,6,623542.0,2016
259,E09000029,Sutton,6,376758.0,2016
260,E09000030,Tower Hamlets,6,514842.0,2016
261,E09000031,Waltham Forest,6,411537.0,2016
262,E09000032,Wandsworth,6,731862.0,2016
263,E09000033,Westminster,6,1475926.0,2016
264,E09000001,City of London,9,895824.0,2016
265,E09000002,Barking and Dagenham,9,275922.0,2016
266,E09000003,Barnet,9,581035.0,2016
267,E09000004,Bexley,9,331444.0,2016
268,E09000005,Brent,9,526827.0,2016
269,E09000006,Bromley,9,469729.0,2016
270,E09000007,Camden,9,1045916.0,2016
271,E09000008,Croydon,9,366447.0,2016
272,E09000009,Ealing,9,546005.0,2016
273,E09000010,Enfield,9,438828.0,2016
274,E09000011,Greenwich,9,434974.0,2016
275,E09000012,Hackney,9,609711.0,2016
276,E09000013,Hammersmith and Fulham,9,931396.0,2016
277,E09000014,Haringey,9,614791.0,2016
278,E09000015,Harrow,9,492107.0,2016
279,E09000016,Havering,9,347684.0,2016
280,E09000017,Hillingdon,9,430478.0,2016
281,E09000018,Hounslow,9,480409.0,2016
282,E09000019,Islington,9,745035.0,2016
283,E09000020,Kensington and Chelsea,9,1886940.0,2016
284,E09000021,Kingston upon Thames,9,539644.0,2016
285,E09000022,Lambeth,9,581325.0,2016
286,E09000023,Lewisham,9,433009.0,2016
287,E09000024,Merton,9,584853.0,2016
288,E09000025,Newham,9,351769.0,2016
289,E09000026,Redbridge,9,414931.0,2016
290,E09000027,Richmond upon Thames,9,776470.0,2016
291,E09000028,Southwark,9,624572.0,2016
292,E09000029,Sutton,9,383561.0,2016
293,E09000030,Tower Hamlets,9,520479.0,2016
294,E09000031,Waltham Forest,9,421624.0,2016
295,E09000032,Wandsworth,9,754444.0,2016
296,E09000033,Westminster,9,1523143.0,2016
297,E09000001,City of London,12,928036.0,2016
298,E09000002,Barking and Dagenham,12,289176.0,2016
299,E09000003,Barnet,12,584202.0,2016
300,E09000004,Bexley,12,340625.0,2016
301,E09000005,Brent,12,517496.0,2016
302,E09000006,Bromley,12,478141.0,2016
303,E09000007,Camden,12,1063247.0,2016
304,E09000008,Croydon,12,372054.0,2016
305,E09000009,Ealing,12,553668.0,2016
306,E09000010,Enfield,12,450293.0,2016
307,E09000011,Greenwich,12,445431.0,2016
308,E09000012,Hackney,12,602842.0,2016
309,E09000013,Hammersmith and Fulham,12,940224.0,2016
310,E09000014,Haringey,12,606628.0,2016
311,E09000015,Harrow,12,504810.0,2016
312,E09000016,Havering,12,358601.0,2016
313,E09000017,Hillingdon,12,439745.0,2016
314,E09000018,Hounslow,12,476268.0,2016
315,E09000019,Islington,12,754513.0,2016
316,E09000020,Kensington and Chelsea,12,1953392.0,2016
317,E09000021,Kingston upon Thames,12,547213.0,2016
318,E09000022,Lambeth,12,588579.0,2016
319,E09000023,Lewisham,12,434769.0,2016
320,E09000024,Merton,12,587370.0,2016
321,E09000025,Newham,12,370476.0,2016
322,E09000026,Redbridge,12,423129.0,2016
323,E09000027,Richmond upon Thames,12,775356.0,2016
324,E09000028,Southwark,12,643857.0,2016
325,E09000029,Sutton,12,387584.0,2016
326,E09000030,Tower Hamlets,12,524507.0,2016
327,E09000031,Waltham Forest,12,431877.0,2016
328,E09000032,Wandsworth,12,775484.0,2016
329,E09000033,Westminster,12,1579838.0,2016
330,E09000001,City of London,3,929037.0,2017
331,E09000002,Barking and Dagenham,3,299383.0,2017
332,E09000003,Barnet,3,590823.0,2017
333,E09000004,Bexley,3,345353.0,2017
334,E09000005,Brent,3,518108.0,2017
335,E09000006,Bromley,3,483847.0,2017
336,E09000007,Camden,3,1029438.0,2017
337,E09000008,Croydon,3,377365.0,2017
338,E09000009,Ealing,3,552559.0,2017
339,E09000010,Enfield,3,459260.0,2017
340,E09000011,Greenwich,3,452824.0,2017
341,E09000012,Hackney,3,598546.0,2017
342,E09000013,Hammersmith and Fulham,3,932930.0,2017
343,E09000014,Haringey,3,626472.0,2017
344,E09000015,Harrow,3,511590.0,2017
345,E09000016,Havering,3,366822.0,2017
346,E09000017,Hillingdon,3,444236.0,2017
347,E09000018,Hounslow,3,482235.0,2017
348,E09000019,Islington,3,761601.0,2017
349,E09000020,Kensington and Chelsea,3,1984323.0,2017
350,E09000021,Kingston upon Thames,3,552448.0,2017
351,E09000022,Lambeth,3,588824.0,2017
352,E09000023,Lewisham,3,441405.0,2017
353,E09000024,Merton,3,595194.0,2017
354,E09000025,Newham,3,385115.0,2017
355,E09000026,Redbridge,3,429586.0,2017
356,E09000027,Richmond upon Thames,3,780110.0,2017
357,E09000028,Southwark,3,651179.0,2017
358,E09000029,Sutton,3,391483.0,2017
359,E09000030,Tower Hamlets,3,527412.0,2017
360,E09000031,Waltham Forest,3,440633.0,2017
361,E09000032,Wandsworth,3,788357.0,2017
362,E09000033,Westminster,3,1609658.0,2017
363,E09000001,City of London,6,953512.0,2017
364,E09000002,Barking and Dagenham,6,301708.0,2017
365,E09000003,Barnet,6,616324.0,2017
366,E09000004,Bexley,6,347505.0,2017
367,E09000005,Brent,6,536119.0,2017
368,E09000006,Bromley,6,489823.0,2017
369,E09000007,Camden,6,1082928.0,2017
370,E09000008,Croydon,6,385383.0,2017
371,E09000009,Ealing,6,568092.0,2017
372,E09000010,Enfield,6,464622.0,2017
373,E09000011,Greenwich,6,456559.0,2017
374,E09000012,Hackney,6,602686.0,2017
375,E09000013,Hammersmith and Fulham,6,937893.0,2017
376,E09000014,Haringey,6,644926.0,2017
377,E09000015,Harrow,6,522208.0,2017
378,E09000016,Havering,6,372862.0,2017
379,E09000017,Hillingdon,6,446907.0,2017
380,E09000018,Hounslow,6,481449.0,2017
381,E09000019,Islington,6,771279.0,2017
382,E09000020,Kensington and Chelsea,6,2068498.0,2017
383,E09000021,Kingston upon Thames,6,556434.0,2017
384,E09000022,Lambeth,6,598021.0,2017
385,E09000023,Lewisham,6,452263.0,2017
386,E09000024,Merton,6,610872.0,2017
387,E09000025,Newham,6,399914.0,2017
388,E09000026,Redbridge,6,436348.0,2017
389,E09000027,Richmond upon Thames,6,798327.0,2017
390,E09000028,Southwark,6,662741.0,2017
391,E09000029,Sutton,6,393962.0,2017
392,E09000030,Tower Hamlets,6,531269.0,2017
393,E09000031,Waltham Forest,6,445598.0,2017
394,E09000032,Wandsworth,6,816478.0,2017
395,E09000033,Westminster,6,1658549.0,2017
396,E09000001,City of London,9,961782.0,2017
397,E09000002,Barking and Dagenham,9,302685.0,2017
398,E09000003,Barnet,9,638640.0,2017
399,E09000004,Bexley,9,352459.0,2017
400,E09000005,Brent,9,547211.0,2017
401,E09000006,Bromley,9,496853.0,2017
402,E09000007,Camden,9,1121810.0,2017
403,E09000008,Croydon,9,395861.0,2017
404,E09000009,Ealing,9,577818.0,2017
405,E09000010,Enfield,9,461150.0,2017
406,E09000011,Greenwich,9,463021.0,2017
407,E09000012,Hackney,9,603130.0,2017
408,E09000013,Hammersmith and Fulham,9,965532.0,2017
409,E09000014,Haringey,9,668129.0,2017
