,N_Neighbors,Weights,Algorithm,metric,LogLoss,Mean Absolute Error
117,1,distance,ball_tree,euclidean,25.2076,1.8938
118,1,distance,kd_tree,euclidean,25.2076,1.8938
119,1,distance,brute,euclidean,25.2248,1.8938
120,5,uniform,auto,euclidean,9.8299,1.8938
121,5,uniform,ball_tree,euclidean,9.8301,1.8938
122,5,uniform,kd_tree,euclidean,9.8299,1.8938
123,5,uniform,brute,euclidean,9.8356,1.8938
124,5,distance,auto,euclidean,9.8301,1.8938
125,5,distance,ball_tree,euclidean,9.8303,1.8938
126,5,distance,kd_tree,euclidean,9.8301,1.8938
127,5,distance,brute,euclidean,9.8358,1.8938
128,10,uniform,auto,euclidean,4.9103,1.8938
129,10,uniform,ball_tree,euclidean,4.9102,1.8938
130,10,uniform,kd_tree,euclidean,4.9103,1.8938
131,10,uniform,brute,euclidean,4.921,1.8938
132,10,distance,auto,euclidean,4.9103,1.8938
133,10,distance,ball_tree,euclidean,4.9102,1.8938
134,10,distance,kd_tree,euclidean,4.9103,1.8938
135,10,distance,brute,euclidean,4.9211,1.8938
136,20,uniform,auto,euclidean,2.5663,1.8938
137,20,uniform,ball_tree,euclidean,2.5662,1.8938
138,20,uniform,kd_tree,euclidean,2.5663,1.8938
139,20,uniform,brute,euclidean,2.5663,1.8938
140,20,distance,auto,euclidean,2.5662,1.8938
141,20,distance,ball_tree,euclidean,2.5661,1.8938
142,20,distance,kd_tree,euclidean,2.5662,1.8938
143,20,distance,brute,euclidean,2.5662,1.8938
144,42,uniform,auto,euclidean,1.6739,1.8938
145,42,uniform,ball_tree,euclidean,1.6739,1.8938
146,42,uniform,kd_tree,euclidean,1.6739,1.8938
147,42,uniform,brute,euclidean,1.6739,1.8938
148,42,distance,auto,euclidean,1.6733,1.8938
149,42,distance,ball_tree,euclidean,1.6732,1.8938
150,42,distance,kd_tree,euclidean,1.6733,1.8938
151,42,distance,brute,euclidean,1.6733,1.8938
152,50,uniform,auto,euclidean,1.6065,1.8938
153,50,uniform,ball_tree,euclidean,1.6065,1.8938
154,50,uniform,kd_tree,euclidean,1.6065,1.8938
155,50,uniform,brute,euclidean,1.6065,1.8938
156,50,distance,auto,euclidean,1.6064,1.8938
157,50,distance,ball_tree,euclidean,1.6064,1.8938
158,50,distance,kd_tree,euclidean,1.6064,1.8938
159,50,distance,brute,euclidean,1.6063,1.8938
160,100,uniform,auto,euclidean,1.4671,1.8938
161,100,uniform,ball_tree,euclidean,1.4671,1.8938
162,100,uniform,kd_tree,euclidean,1.4671,1.8938
163,100,uniform,brute,euclidean,1.4671,1.8938
164,100,distance,auto,euclidean,1.4675,1.8938
165,100,distance,ball_tree,euclidean,1.4675,1.8938
166,100,distance,kd_tree,euclidean,1.4675,1.8938
167,100,distance,brute,euclidean,1.4675,1.8938
