,Trees,Depth,Learning Rate,LogLoss,Mean Absolute Error
140,100,1,0.7,1.4618,1.9392
141,100,2,0.7,1.6626,1.9622
142,100,5,0.7,2.4618,1.8413
143,100,15,0.7,4.1216,1.925
144,100,20,0.7,4.4335,1.9005
145,150,1,0.7,1.4646,1.9557
146,150,2,0.7,1.7596,1.9323
147,150,5,0.7,2.714,1.8965
148,150,15,0.7,4.4653,1.9263
149,150,20,0.7,5.2483,1.9065
150,200,1,0.7,1.4668,1.9538
151,200,2,0.7,1.8615,1.9092
152,200,5,0.7,3.3045,1.8918
153,200,15,0.7,5.0259,1.9248
154,200,20,0.7,5.8864,1.9085
155,250,1,0.7,1.4695,1.9573
156,250,2,0.7,1.9031,1.9007
157,250,5,0.7,2.9201,1.8762
158,250,15,0.7,5.5976,1.9477
159,250,20,0.7,6.7585,1.9297
160,10,1,0.9,1.4563,1.9467
161,10,2,0.9,1.4866,1.9418
162,10,5,0.9,1.7397,1.9387
163,10,15,0.9,2.9262,1.8938
164,10,20,0.9,3.4451,1.8973
165,20,1,0.9,1.4568,1.9448
166,20,2,0.9,1.5222,1.9507
167,20,5,0.9,2.0332,1.9
168,20,15,0.9,3.4792,1.9103
169,20,20,0.9,3.7579,1.8773
170,40,1,0.9,1.4621,1.9648
171,40,2,0.9,1.5979,1.9443
172,40,5,0.9,2.3656,1.8893
173,40,15,0.9,3.9923,1.9053
174,40,20,0.9,4.1346,1.937
175,60,1,0.9,1.4625,1.9592
176,60,2,0.9,1.7005,1.9107
177,60,5,0.9,2.5712,1.8875
178,60,15,0.9,4.1444,1.8983
179,60,20,0.9,4.3854,1.876
180,100,1,0.9,1.4645,1.957
181,100,2,0.9,1.8197,1.9368
182,100,5,0.9,2.885,1.8985
183,100,15,0.9,4.622,1.9082
184,100,20,0.9,5.2786,1.9275
185,150,1,0.9,1.4684,1.9563
186,150,2,0.9,1.9476,1.9328
187,150,5,0.9,2.9951,1.8662
188,150,15,0.9,5.2783,1.897
189,150,20,0.9,6.2204,1.9303
190,200,1,0.9,1.4712,1.9475
191,200,2,0.9,2.0574,1.9108
192,200,5,0.9,7.0512,1.8852
193,200,15,0.9,6.0,1.9002
194,200,20,0.9,7.1356,1.9078
195,250,1,0.9,1.4746,1.9588
196,250,2,0.9,2.1523,1.909
197,250,5,0.9,3.509,1.8897
198,250,15,0.9,6.5454,1.9183
199,250,20,0.9,8.0672,1.8983
200,10,1,1.0,1.4547,1.9447
201,10,2,1.0,1.5196,1.9713
202,10,5,1.0,1.8171,1.9172
203,10,15,1.0,3.1607,1.8993
204,10,20,1.0,3.715,1.9013
205,20,1,1.0,1.4561,1.9507
206,20,2,1.0,1.533,1.9375
207,20,5,1.0,2.1867,1.9008
208,20,15,1.0,3.7141,1.9183
209,20,20,1.0,3.968,1.9043
210,40,1,1.0,1.4582,1.9562
211,40,2,1.0,1.649,1.9467
212,40,5,1.0,2.5722,1.899
213,40,15,1.0,4.1358,1.8987
214,40,20,1.0,4.4187,1.9008
215,60,1,1.0,1.4604,1.9612
216,60,2,1.0,1.709,1.9383
217,60,5,1.0,3.0446,1.8712
218,60,15,1.0,4.5873,1.9067
219,60,20,1.0,4.681,1.9043
220,100,1,1.0,1.4613,1.9688
221,100,2,1.0,1.8728,1.9043
222,100,5,1.0,3.4486,1.8903
223,100,15,1.0,5.0459,1.8532
224,100,20,1.0,5.4977,1.9368
225,150,1,1.0,1.4632,1.9758
226,150,2,1.0,2.0167,1.9262
227,150,5,1.0,4.4368,1.8912
228,150,15,1.0,5.6447,1.9125
229,150,20,1.0,6.8814,1.929
230,200,1,1.0,1.4648,1.9642
231,200,2,1.0,2.0395,1.9333
232,200,5,1.0,3.5954,1.908
233,200,15,1.0,6.7079,1.8797
234,200,20,1.0,7.7188,1.9188
235,250,1,1.0,1.4671,1.9572
236,250,2,1.0,2.2836,1.9042
237,250,5,1.0,10.8144,1.8957
238,250,15,1.0,7.3833,1.9118
239,250,20,1.0,8.621,1.9265
